Date,Month,Category,Payment_Mode,Discription,Amount,CashBack
2024-01-01,Jan,School fees,Cash,Fees for School,2172.6,0
2024-01-03,Jan,Loan amount,Netbanking,Housing loan paid,389.8,0
2024-01-03,Jan,Health & Medicine,Credit card,Hospitalization,2959.6,3.37
2024-01-03,Jan,Loan amount,Debit card,Housing loan paid,923.76,4.64
2024-01-05,Jan,Shopping,Cash,Toys/Gifts Purchase,1837.85,0
2024-01-05,Jan,School fees,Netbanking,Fees for School,2209.5,0
2024-01-07,Jan,Shopping,UPI,Transportation,3332.42,1.5
2024-01-09,Jan,Investment,Netbanking,Investment on Bank,3235.37,0
2024-01-10,Jan,Shopping,Cash,Movie charge,4094.8,0
2024-01-10,Jan,School fees,Wallet,Fees for School,4489.82,6.37
2024-01-10,Jan,School fees,Debit card,Fees for School,3852.5,0.57
2024-01-12,Jan,Shopping,UPI,Dress purchase,2202.25,7.74
2024-01-13,Jan,Groceries,Cash,Home essential purchase,1432.99,0
2024-01-13,Jan,School fees,Debit card,Fees for School,3227.77,1.43
2024-01-14,Jan,Groceries,Debit card,Fruits & Vegetables purchase,4019.81,4.76
2024-01-16,Jan,School fees,Wallet,Fees for School,4820.88,4.23
2024-01-17,Jan,Groceries,Debit card,Home essential purchase,1205.67,4.81
2024-01-19,Jan,School fees,Debit card,Fees for School,3502.04,8.41
2024-01-19,Jan,Loan amount,Debit card,Housing loan paid,2347.84,4.66
2024-01-20,Jan,Groceries,UPI,Fruits & Vegetables purchase,2709.12,4.6
2024-01-21,Jan,Subscription,Wallet,Subscription for Hotstar,292.81,0.76
2024-01-22,Jan,Groceries,Debit card,Home essential purchase,4179.9,7
2024-01-23,Jan,Shopping,Netbanking,Movie charge,2110.85,0
2024-01-24,Jan,Investment,Debit card,Investment on Bank,289.74,8.37
2024-01-28,Jan,School fees,Credit card,Fees for School,3088.37,2.41
2024-01-29,Jan,School fees,UPI,Fees for School,3448.14,0.72
2024-01-30,Jan,Investment,Cash,Investment on stock,235.21,0
2024-01-30,Jan,Investment,Wallet,Investment on stock,983.59,3.42
2024-01-30,Jan,Groceries,Netbanking,Home essential purchase,3685.41,0
2024-02-01,Feb,Loan amount,Debit card,Housing loan paid,111.72,4.47
2024-02-01,Feb,Investment,Debit card,Investment on stock,1774.13,7.14
